Scene,Algorithm,RunFile,BestFitness,Feasible,Violation,MeanZ,MaxZ,MinZ,StdZ,HighThreshold,HighAltitudeFrac,VeryHighThreshold,VeryHighAltitudeFrac,PathLength,DetourRatio,BoundaryBand,MinBoundaryDist,MeanBoundaryDist,BoundaryHugFrac,ControlPointBoundaryHugFrac,NumControlPoints,HighAltitudeFlag,BoundaryHugFlag,ExcessiveDetourFlag,ControlPointEdgeFlag,VisualReviewFlag,ObstacleFootprintFrac,MeanRoofClearance,MinRoofClearance,LowAltitudeScore
2,CVF-AE,scene2_CVF-AE_run020.mat,297.568583204915,1,0,16.3396797951526,18,12,1.19627715836687,24,0,31,0,147.88529923284,1.16060779502787,8,4.67082704385594,20.377435292465,0.110552763819095,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,17.4328697962055
2,CVF-AE,scene2_CVF-AE_run027.mat,298.725151140125,1,0,16.4016323675236,18.0409740733241,12,1.62285438737345,24,0,31,0,146.321792879239,1.14833735522771,8,6.30917905827326,20.6496204635976,0.100502512562814,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,17.4779459893303
2,CVF-AE,scene2_CVF-AE_run016.mat,300.288730328163,1,0,16.4424195755407,18.4037525093121,12,2.02539332447228,24,0,31,0,145.719591703101,1.14361126424485,8,6.24678950805122,21.1896866539415,0.0703517587939698,0.166666666666667,8,0,0,0,0,0,0,NaN,NaN,17.4899456212609
2,CVF-AE,scene2_CVF-AE_run028.mat,301.133738373621,1,0,16.4054678989677,18.1556274180261,12,1.34095323442947,24,0,31,0,148.22954790134,1.16330946781185,8,5.06029271673567,20.1170271452485,0.0904522613065327,0.166666666666667,8,0,0,0,0,0,0,NaN,NaN,17.5083653453384
2,CVF-AE,scene2_CVF-AE_run012.mat,303.379233046224,1,0,16.8057454949575,18.501952191733,12,1.30375395089448,24,0,31,0,147.03212514168,1.15391206187621,8,3.61312628305623,20.3860404449158,0.0904522613065327,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,18.040134028207
2,CVF-AE,scene2_CVF-AE_run026.mat,303.080661430803,1,0,17.1192104295748,18.538353227117,12,1.20237362146936,24,0,31,0,145.374917235788,1.14090624978037,8,6.18754960115269,21.3666828133829,0.0452261306532663,0.166666666666667,8,0,0,0,0,0,0,NaN,NaN,18.1305971360955
2,CVF-AE,scene2_CVF-AE_run015.mat,295.966558012057,1,0,17.0056995038242,19.1659898187245,12,1.46725364658937,24,0,31,0,147.233126788946,1.15548952819531,8,5.91802248801049,21.8725687899339,0.085427135678392,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,18.2327183149975
2,CVF-AE,scene2_CVF-AE_run017.mat,306.001517968724,1,0,16.7519374972074,18.9376150874257,12,1.45661556311573,24,0,31,0,151.613674996118,1.18986818802231,8,3.9466874403326,15.4371929907586,0.115577889447236,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,18.2733155935336
2,CVF-AE,scene2_CVF-AE_run030.mat,302.769107593636,1,0,16.8947252969091,18.1144798255823,12,1.53453860284655,24,0,31,0,147.083818453622,1.15431775237487,8,3.1989190503501,19.3155789922841,0.14572864321608,0.166666666666667,8,0,0,0,0,0,0,NaN,NaN,18.2964251391169
2,CVF-AE,scene2_CVF-AE_run021.mat,298.038845723075,1,0,16.7620468729111,19.9968897238057,12,2.81814368595558,24,0,31,0,148.808369163562,1.16785207260318,8,4.48699500961092,18.3659566786692,0.125628140703518,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,18.4392414397007
2,CVF-AE,scene2_CVF-AE_run024.mat,302.819076108751,1,0,17.0406856833001,18.8043228911625,12,1.44840987990802,24,0,31,0,148.234588818609,1.16334902906579,8,4.68606611778901,20.9496435898136,0.125628140703518,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,18.5153431496424
2,CVF-AE,scene2_CVF-AE_run002.mat,303.760230354358,1,0,17.0373138369746,18.1659060819424,12,1.3072183919046,24,0,31,0,148.122642908825,1.16247047456314,8,5.44825874126548,20.0958816778305,0.155778894472362,0.5,8,0,0,0,0,0,0,NaN,NaN,18.5219439547683
2,CVF-AE,scene2_CVF-AE_run018.mat,301.784974306163,1,0,16.9857720019751,18.3565439367045,12,1.22570589545848,24,0,31,0,150.168841686476,1.17852909745425,8,4.6337121153588,14.422339942242,0.170854271356784,0.5,8,0,0,0,0,0,0,NaN,NaN,18.5539333469175
2,CVF-AE,scene2_CVF-AE_run001.mat,301.832733892273,1,0,17.2773782203328,19.3156665777075,12,1.75471036464536,24,0,31,0,146.413130664618,1.14905417661727,8,5.34102962263239,20.8166432951849,0.0653266331658292,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,18.5586372262934
2,CVF-AE,scene2_CVF-AE_run022.mat,299.124008234375,1,0,17.6803837869189,19.4170004125018,12,1.61561066858184,24,0,31,0,144.352318063204,1.13288086404529,8,8.22141725654353,21.5352758242413,0,0,8,0,0,0,0,0,0,NaN,NaN,18.6061685725909
2,CVF-AE,scene2_CVF-AE_run025.mat,297.50539018409,1,0,17.449256688931,18.9632514464835,12,1.55149240573081,24,0,31,0,146.054480790232,1.14623948278321,8,5.23007814016411,21.247874610917,0.120603015075377,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,18.8322469474696
2,CVF-AE,scene2_CVF-AE_run006.mat,298.291919059059,1,0,17.5219795460896,20.3863156959065,12,2.53393747338967,24,0,31,0,148.81004208011,1.16786520169713,8,4.05454579988746,20.9683411099994,0.0653266331658292,0.333333333333333,8,0,0,0,0,0,0,NaN,NaN,19.0000845349356
