Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock,Source,PaperScene,AlgorithmOrder
1,PSO,27,20270957,844.314553512615,4.264008,0,3,9030,NaN,NaN,NaN,NaN,0,0,0.0017201,formal-main,1,2
1,PSO,28,20270958,313.928839222982,4.2391317,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0013217,formal-main,1,2
1,PSO,29,20270959,307.043009787485,4.2623773,1,7.105427357601e-14,9030,NaN,NaN,NaN,NaN,0,0,0.0011102,formal-main,1,2
1,PSO,30,20270960,320.396316151096,4.2340688,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0013711,formal-main,1,2
1,GWO,1,20271031,318.23101425286,4.4108684,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0013989,formal-main,1,3
1,GWO,2,20271032,312.441339141815,4.4069166,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0020491,formal-main,1,3
1,GWO,3,20271033,331.205380435683,4.4667458,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0020729,formal-main,1,3
1,GWO,4,20271034,365.081354530309,4.4261402,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0022781,formal-main,1,3
1,GWO,5,20271035,327.89155114485,4.3911267,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0015772,formal-main,1,3
1,GWO,6,20271036,313.360195989185,4.3729119,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0015342,formal-main,1,3
1,GWO,7,20271037,467.737535524682,4.3790018,0,1,9030,NaN,NaN,NaN,NaN,0,0,0.001684,formal-main,1,3
1,GWO,8,20271038,359.689794504658,4.365585,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0018442,formal-main,1,3
1,GWO,9,20271039,313.421789376164,4.3857734,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.001598,formal-main,1,3
1,GWO,10,20271040,317.149380625347,4.3900589,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014448,formal-main,1,3
1,GWO,11,20271041,332.439810318122,4.3795467,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.001359,formal-main,1,3
1,GWO,12,20271042,316.33234956694,4.3749427,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0021318,formal-main,1,3
1,GWO,13,20271043,326.016616185544,4.3752545,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0015808,formal-main,1,3
1,GWO,14,20271044,319.353423415779,4.371743,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0017582,formal-main,1,3
1,GWO,15,20271045,312.238564361339,4.3928134,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0019809,formal-main,1,3
1,GWO,16,20271046,318.072601320549,4.3742491,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0019514,formal-main,1,3
1,GWO,17,20271047,356.751719522084,4.4218876,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0018719,formal-main,1,3
1,GWO,18,20271048,313.87883827095,4.3707775,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0019533,formal-main,1,3
1,GWO,19,20271049,330.866189714377,4.4005015,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0020489,formal-main,1,3
1,GWO,20,20271050,331.021220600857,4.373538,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0016117,formal-main,1,3
1,GWO,21,20271051,337.722150393067,4.4099196,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0011241,formal-main,1,3
1,GWO,22,20271052,337.976909579213,4.3903001,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0014695,formal-main,1,3
1,GWO,23,20271053,310.559939540028,4.3868438,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0019099,formal-main,1,3
1,GWO,24,20271054,336.131151576697,4.3969875,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.001699,formal-main,1,3
1,GWO,25,20271055,336.777761169329,4.3897556,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0017584,formal-main,1,3
1,GWO,26,20271056,749.790143037798,4.4318286,0,2,9030,NaN,NaN,NaN,NaN,0,0,0.0014533,formal-main,1,3
1,GWO,27,20271057,311.542753898612,4.4804632,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0012255,formal-main,1,3
1,GWO,28,20271058,312.340842916375,4.4911682,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0010631,formal-main,1,3
1,GWO,29,20271059,320.794556390896,4.4513219,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0016392,formal-main,1,3
1,GWO,30,20271060,324.266682223407,4.4631355,1,0,9030,NaN,NaN,NaN,NaN,0,0,0.0020182,formal-main,1,3
1,HHO,1,20271231,1002.27273604355,5.6141386,0,4,11541,NaN,NaN,NaN,NaN,0,0,0.0012328,formal-main,1,4
1,HHO,2,20271232,739.639823060173,5.4073889,0,2,11516,NaN,NaN,NaN,NaN,0,0,0.0013546,formal-main,1,4
1,HHO,3,20271233,390.362535326051,5.2896629,1,0,11241,NaN,NaN,NaN,NaN,0,0,0.0017724,formal-main,1,4
1,HHO,4,20271234,587.226811506288,5.4285874,1,0,11512,NaN,NaN,NaN,NaN,0,0,0.0018721,formal-main,1,4
1,HHO,5,20271235,337.619227350546,5.533319,1,0,11732,NaN,NaN,NaN,NaN,0,0,0.0017145,formal-main,1,4
1,HHO,6,20271236,354.259138131919,5.3858835,1,0,11461,NaN,NaN,NaN,NaN,0,0,0.0016698,formal-main,1,4
1,HHO,7,20271237,354.370682642704,5.3537169,1,0,11370,NaN,NaN,NaN,NaN,0,0,0.0016637,formal-main,1,4
1,HHO,8,20271238,339.178429652251,5.4333305,1,0,11484,NaN,NaN,NaN,NaN,0,0,0.0012836,formal-main,1,4
1,HHO,9,20271239,343.15426966949,5.50638,1,0,11695,NaN,NaN,NaN,NaN,0,0,0.001795,formal-main,1,4
1,HHO,10,20271240,296.77766361536,5.5705733,1,0,11771,NaN,NaN,NaN,NaN,0,0,0.0020343,formal-main,1,4
1,HHO,11,20271241,718.936965300337,5.3095045,0,2,11292,NaN,NaN,NaN,NaN,0,0,0.0010022,formal-main,1,4
1,HHO,12,20271242,344.559573980524,5.3071335,1,0,11278,NaN,NaN,NaN,NaN,0,0,0.0018409,formal-main,1,4
1,HHO,13,20271243,310.965146357622,5.4269991,1,0,11525,NaN,NaN,NaN,NaN,0,0,0.0015544,formal-main,1,4
1,HHO,14,20271244,396.30315097596,5.5011935,1,0,11667,NaN,NaN,NaN,NaN,0,0,0.0012035,formal-main,1,4
