Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
4,AE,3,20300827,1473.28899264562,1.8375754,0,6,1620,NaN,NaN,NaN,NaN,0,0,1.8592471
4,PSO,1,20300925,1582.65135856555,1.7610303,0,7,1620,NaN,NaN,NaN,NaN,0,0,1.7837344
4,PSO,2,20300926,2260.08314953533,1.8030104,0,10,1620,NaN,NaN,NaN,NaN,0,0,1.8252196
4,PSO,3,20300927,1562.3426565047,1.7490248,0,5,1620,NaN,NaN,NaN,NaN,0,0,1.7719947
4,GWO,1,20301025,1597.84591315445,1.8338561,0,7,1620,NaN,NaN,NaN,NaN,0,0,1.8540907
4,GWO,2,20301026,2203.25427499763,1.7199091,0,10,1620,NaN,NaN,NaN,NaN,0,0,1.7457104
4,GWO,3,20301027,1990.9527287668,1.5888735,0,10,1620,NaN,NaN,NaN,NaN,0,0,1.6111356
4,WOA,1,20301125,1505.91922738465,1.5760873,0,6.04197401536476,1620,NaN,NaN,NaN,NaN,0,0,1.6104342
4,WOA,2,20301126,1643.31600286882,1.5603414,0,7,1620,NaN,NaN,NaN,NaN,0,0,1.580428
4,WOA,3,20301127,1358.72984368794,1.540859,0,5,1620,NaN,NaN,NaN,NaN,0,0,1.5605466
4,HHO,1,20301225,1518.32058208703,1.8696976,0,7,1993,NaN,NaN,NaN,NaN,0,0,1.8892809
4,HHO,2,20301226,1466.25611350219,2.2483918,0,7,2049,NaN,NaN,NaN,NaN,0,0,2.268816
4,HHO,3,20301227,1585.79853277339,2.2653567,0,7,2058,NaN,NaN,NaN,NaN,0,0,2.2939204
4,DBO,1,20301325,441.864147486462,1.7740388,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.8001347
4,DBO,2,20301326,402.032250822213,1.7387936,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7632437
4,DBO,3,20301327,401.520452953639,1.7450093,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.7712456
4,CPO,1,20301425,390.653211267266,1.654782,1,0,1620,NaN,NaN,NaN,NaN,0,0,1.6799846
4,CPO,2,20301426,1742.59172021571,1.6382302,0,7,1620,NaN,NaN,NaN,NaN,0,0,1.6592552
4,CPO,3,20301427,1422.86666731404,1.6484188,0,7,1620,NaN,NaN,NaN,NaN,0,0,1.6691372
