Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,FirstFeasibleTime,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount,WallClock
2,CVF-AE,17,20280741,305.099450165951,5.9715569,1,0,9452,8,0.1649475,332,199,90,66,0.0011837
2,CVF-AE,18,20280742,298.717188003448,6.0217082,1,0,9456,6,0.1065573,378,218,48,34,0.0012418
2,CVF-AE,19,20280743,299.866839048438,6.0681413,1,0,9444,1,0.0276864,392,204,22,18,0.0010775
2,CVF-AE,20,20280744,303.01904757324,6.3462988,1,0,9581,11,0.2187519,444,240,107,83,0.001421
2,CVF-AE,21,20280745,308.813629644725,6.4363423,1,0,9581,5,0.0856022,465,294,86,46,0.0012417
2,CVF-AE,22,20280746,298.447248352867,6.1651887,1,0,9515,3,0.0627329,399,224,86,50,0.0012987
2,CVF-AE,23,20280747,303.151480367557,6.1058876,1,0,9514,1,0.026364,399,223,85,65,0.0010917
2,CVF-AE,24,20280748,310.099245927114,6.4625774,1,0,9621,19,0.3877795,457,249,134,79,0.0012652
2,CVF-AE,25,20280749,302.276567596806,6.2702737,1,0,9549,8,0.1678909,429,245,90,59,0.0011431
2,CVF-AE,26,20280750,299.933432838458,6.1072764,1,0,9485,6,0.1367133,364,188,91,66,0.001245
2,CVF-AE,27,20280751,302.639688035215,6.1732288,1,0,9500,2,0.0434932,429,251,41,24,0.0011605
2,CVF-AE,28,20280752,296.792578831116,6.2159058,1,0,9439,5,0.1076889,377,238,32,23,0.0015151
2,CVF-AE,29,20280753,299.922351498417,10.869423,1,0,9507,9,0.1962803,378,240,99,70,0.0011287
2,CVF-AE,30,20280754,293.524346275178,5.9599508,1,0,9425,2,0.059493,338,185,57,47,0.0012324
2,AE,1,20280825,2091.40782077609,4.9486287,0,9,9030,NaN,NaN,NaN,NaN,0,0,0.0007006
2,AE,2,20280826,1360.12575870831,4.7210921,0,6,9030,NaN,NaN,NaN,NaN,0,0,0.0007264
2,AE,3,20280827,1375.02487323571,4.7093525,0,6,9030,NaN,NaN,NaN,NaN,0,0,0.001079
2,AE,4,20280828,1965.51313447781,4.6353177,0,9,9030,NaN,NaN,NaN,NaN,0,0,0.0007602
2,AE,5,20280829,984.835925325847,4.5901475,0,4,9030,NaN,NaN,NaN,NaN,0,0,0.0007831
2,AE,6,20280830,1895.69110018633,4.5858427,0,9,9030,NaN,NaN,NaN,NaN,0,0,0.0008568
2,AE,7,20280831,1839.01688656664,4.6162537,0,8,9030,NaN,NaN,NaN,NaN,0,0,0.0006698
2,AE,8,20280832,1168.4245417644,4.6150786,0,5,9030,NaN,NaN,NaN,NaN,0,0,0.0008098
2,AE,9,20280833,1395.54820573087,4.6190449,0,6,9030,NaN,NaN,NaN,NaN,0,0,0.0006927
2,AE,10,20280834,1896.02898124043,4.6292043,0,9,9030,NaN,NaN,NaN,NaN,0,0,0.0006657
2,AE,11,20280835,1452.75340289471,4.6518008,0,6,9030,NaN,NaN,NaN,NaN,0,0,0.0007886
2,AE,12,20280836,1649.35908273057,4.6217201,0,8,9030,NaN,NaN,NaN,NaN,0,0,0.0006535
2,AE,13,20280837,1932.52352495752,4.5533865,0,9,9030,NaN,NaN,NaN,NaN,0,0,0.000709
2,AE,14,20280838,2060.21735755192,4.5643654,0,10,9030,NaN,NaN,NaN,NaN,0,0,0.0008267
2,AE,15,20280839,1805.88449748266,4.5439641,0,9,9030,NaN,NaN,NaN,NaN,0,0,0.0006925
2,AE,16,20280840,1780.53993684029,4.574835,0,8,9030,NaN,NaN,NaN,NaN,0,0,0.0007979
