ParamKey,ParamLabel,Level,LevelLabel,Scene,Run,Seed,BestFitness,Runtime,Feasible,Violation,NEvals,FirstFeasibleIter,RepairCount,RepairSuccessCount,ViabilityFieldCount,ViabilityFieldSuccessCount
step_strength,CVF step strength,weak,0.75x CVF field strength,4,6,20500737,326.71575588482,16.540172,1,0,9394,0,276,171,88,68
step_strength,CVF step strength,weak,0.75x CVF field strength,4,7,20500738,340.960683971208,15.8811998,1,0,9255,0,177,124,48,33
step_strength,CVF step strength,weak,0.75x CVF field strength,4,8,20500739,325.558276975755,23.8949105,1,0,9482,0,396,219,56,41
step_strength,CVF step strength,weak,0.75x CVF field strength,4,9,20500740,370.873289025716,30.0516884,1,0,9419,0,294,258,95,54
step_strength,CVF step strength,weak,0.75x CVF field strength,4,10,20500741,323.120624567602,27.6058737,1,0,9314,0,184,114,100,69
step_strength,CVF step strength,default,default CVF field strength,2,1,20480832,301.231682371728,27.7289744,1,0,9555,0,515,336,10,5
step_strength,CVF step strength,default,default CVF field strength,2,2,20480833,301.144766618323,28.4239445,1,0,9566,11,509,294,27,20
step_strength,CVF step strength,default,default CVF field strength,2,3,20480834,296.995363095745,28.5788134,1,0,9561,8,508,316,23,17
step_strength,CVF step strength,default,default CVF field strength,2,4,20480835,301.859016432262,28.4514725,1,0,9555,4,512,278,13,11
step_strength,CVF step strength,default,default CVF field strength,2,5,20480836,300.797234783049,27.4941325,1,0,9557,6,513,299,14,11
step_strength,CVF step strength,default,default CVF field strength,2,6,20480837,300.517534294637,29.5049734,1,0,9566,12,510,295,26,19
step_strength,CVF step strength,default,default CVF field strength,2,7,20480838,301.656589897683,28.7632007,1,0,9562,11,507,297,25,17
step_strength,CVF step strength,default,default CVF field strength,2,8,20480839,297.353672487703,29.4663905,1,0,9546,5,511,292,5,4
step_strength,CVF step strength,default,default CVF field strength,2,9,20480840,300.655657173937,29.3519888,1,0,9550,5,511,312,9,8
step_strength,CVF step strength,default,default CVF field strength,2,10,20480841,303.2314454203,28.5342032,1,0,9557,6,512,319,15,10
step_strength,CVF step strength,default,default CVF field strength,4,1,20500832,369.799421060989,28.2587137,1,0,9362,0,233,175,99,62
step_strength,CVF step strength,default,default CVF field strength,4,2,20500833,367.520641801443,27.9114316,1,0,9333,0,216,131,87,56
step_strength,CVF step strength,default,default CVF field strength,4,3,20500834,346.80048729892,28.2355078,1,0,9339,0,219,142,90,56
step_strength,CVF step strength,default,default CVF field strength,4,4,20500835,357.378987083443,27.6083654,1,0,9308,0,188,132,90,55
step_strength,CVF step strength,default,default CVF field strength,4,5,20500836,372.270759417907,29.7982746,1,0,9457,0,352,345,75,40
step_strength,CVF step strength,default,default CVF field strength,4,6,20500837,338.126829456578,28.450912,1,0,9348,0,240,141,78,51
step_strength,CVF step strength,default,default CVF field strength,4,7,20500838,358.54189185556,27.8567981,1,0,9324,0,204,151,90,65
step_strength,CVF step strength,default,default CVF field strength,4,8,20500839,336.555402253817,28.8259143,1,0,9376,0,267,144,79,59
